"bad_stop","confidence_1","stop_id_1","stop_name_1","confidence_2","stop_id_2","stop_name_2"
"steeles and queen's quay","86","11181","Eastern Ave at Queen St East South Side","86","9720","Birchmount Rd at Steeles Ave South Side"
"st.george stn","100","14784","St George Station","90","13858","St George Station - Northbound Platform"
"pine and lawence","86","3021","Pine St at Lawrence Ave West","86","8298","Steeles Ave West at Pine Valley Dr"
"guildwood prkwy","87","2947","Morningside Ave at Guildwood Pkwy","86","2683","Guildwood Pkwy at Navarre Cres"
"garage / adelaide and richmond","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2678","Guildwood Pkwy at Guild Park and Gardens East Side"
"kennedy  stn","87","3539","Eglinton Ave East at Kennedy Station","86","662","Danforth Rd at Kennedy Rd"
"lawrance and fortune gate","86","3117","Sherway Gardens Rd at Sherway Gate (Mall)","86","9108","Sherway Gardens Rd at Sherway Gate Mall West Side"
"wston and lawrence","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"centennial colleg loop","86","7948","Earlscourt Loop at St Clair Ave West","86","10927","Queens Quay Loop at Lower Spadina Ave"
"one full trip from cssl","54","13455","Yonge St at Front St East","54","1671","Yonge St at Front St West"
"kennedy rd / malta street","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"albion and westmore","86","3273","Albion Rd at Humberline Dr East Side","86","1680","Albion Rd at Beaumonde Heights Park West Side"
"yonge and shuter","86","9897","Eglinton Ave West at Yonge St","86","9898","Eglinton Ave West at Yonge St West Side"
"entire route 108","62","8673","The West Mall at Civic Centre Crt South Side","62","16645","McCowan Rd at Town Centre Crt South Side"
"scarborough golf club rd/ lawrance","86","11700","Disco Rd at Attwell Dr","86","11700","Disco Rd at Attwell Dr"
"6- bay route","86","9406","Front St West at Bay St East Side - Union Station","86","4710","Wellington St West at Bay St"
"steeles and staines","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"york mills station to kingston rd.","90","14806","York Mills Station","90","14806","York Mills Station"
"victoria park / york mills","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"68265","54","13316","Opposite 2650 St Clair Ave West","54","5684","2265 Midland Ave"
"wynford","90","1977","Don Mills Rd at Wynford Dr","90","2320","Eglinton Ave East at Wynford Dr West Side"
"bay / college","86","9406","Front St West at Bay St East Side - Union Station","86","12196","Humber College Blvd at Humberline Dr South Side"
"willowdale on finch","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"bayview on finch","86","2240","Eglinton Ave East at Bayview Ave East Side","86","9910","Finch Ave East at Finchdene Sq West Side"
"lawrance and tremont","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2820","Lawrence Ave East at Tremont Cres (East) West Side"
"mccowan on finch","86","9604","Ellesmere Rd at McCowan Rd East Side","86","9910","Finch Ave East at Finchdene Sq West Side"
"william craig and wilson","86","4598","Sheppard Ave West at William R Allen Rd West Side","86","8865","Wilson Ave at Julian Rd East Side - Humber River Hospital"
"dundas","90","9856","Dundas St West at Bloor St West","90","9942","Dundas St West at Jane St East Side"
"mccowan and devonshire","86","9604","Ellesmere Rd at McCowan Rd East Side","86","9807","McCowan Rd at Steeles Ave East North Side"
"pharmacy & eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"hinton and kipling","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station","86","4291","Kipling Ave at Bloor St West North Side"
"highway 427 at highway 401","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"weston rd / rogers rd","95","8763","Weston Rd at Rogers Rd","95","4505","Old Weston Rd at Rogers Rd"
"glenroy and prince edward","86","6776","Prince Edward Dr South at Glenaden Ave East","86","2685","Guildwood Pkwy at Prince Philip Blvd East Side"
"bathurst & avenue rd","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"bathrust and greenwin village","86","8026","Parkwoods Village Dr at Combermere Dr North Side","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"sb hwy 427 and hwy 401","86","463","Birchmount Rd at Highway 401 - Walkway North of Rolark","86","4986","Airport Rd at Highway 427 Overpass West Side"
"terminal 3 exit","86","14061","Westwood Square Bus Terminal at Morning Star Dr","86","13536","Wheeltrans Exit at Commissioners St"
"farmcote rd & donmills","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"bathurst and hotspur","86","204","Bathurst St at St Clair Ave West","86","9719","Bathurst St at Steeles Ave West"
"eglinton/jonesville","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"law \ bayview","86","2240","Eglinton Ave East at Bayview Ave East Side","86","9122","Bayview Ave at Valleyanna Dr"
"bomb-bay loop","86","13366","Exhibition Loop at Manitoba Dr","86","6530","Rouge Hill GO Station Loop"
"eglinton and e. of mt. pleasant","86","2390","Eglinton Ave West at Old Forest Hill Rd East Side","86","352","Bellamy Rd North at Eglinton Ave East North Side - Eglinton GO Station"
"lawrence and corona","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"st. clair & warden","86","1871","Davisville Ave at Cleveland St","86","5006","Doncaster Ave at Main St West Side"
"kipling/tornlake","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station","86","4291","Kipling Ave at Bloor St West North Side"
"service road and ellesmere","86","9621","Ellesmere Rd at West Service Rd East Side","86","9827","Pharmacy Ave at Ellesmere Rd South Side"
"mt. pleasant & keewater","86","5813","Mt Pleasant Rd at Eglinton Ave East North Side","86","6656","Peckham Ave at Pleasant Ave South Side"
"glen \ south dr.","95","7335","South Dr at Glen Rd","95","7335","South Dr at Glen Rd"
"keele and gunns rd.","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"wilosn stn","93","14799","Wilson Station","93","14799","Wilson Station"
"queem and lansdowne","86","5213","Lansdowne Ave at Davenport Rd South Side","86","11632","Lansdowne Ave at Dundas St West South Side"
"entire routeannette and dundas","86","127","Bathurst St at Dundas St West - Toronto Western Hospital","86","2140","Dundas St West at Bathurst St - Toronto Western Hospital"
"poppy place and mantis","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2678","Guildwood Pkwy at Guild Park and Gardens East Side"
"donmills & eglinton to pape stn","90","15150","Pape Station","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"lakeshore / marine  parade","86","10116","Marine Parade Dr Loop at Lake Shore Blvd West","86","14544","Marine Parade Dr (East) at Lake Shore Blvd West"
"colbourne lodge / lakeshore","86","12164","Lake Shore Blvd West at Colborne Lodge Dr West Side","86","14280","The Queensway at Colborne Lodge Dr East Side"
"courage avenue","86","11488","Eglinton Ave West at Avenue Rd East Side","86","11238","Avenue Rd at Old Orchard Grove"
"bloor/shaver","86","9856","Dundas St West at Bloor St West","86","526","Bloor St West at Islington Ave West Side"
"upper highland and munro","86","6625","Highland Creek Overpass at Kingston Rd","86","6625","Highland Creek Overpass at Kingston Rd"
"eglinton/don  mills","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"midland / st clair ave e","90","1329","Midland Ave at St Clair Ave East","90","1329","Midland Ave at St Clair Ave East"
"dvenpport and dupont","86","8122","Spadina Rd at Dupont St - Dupont Station","86","8122","Spadina Rd at Dupont St - Dupont Station"
"birchmount & hollis","95","7551","Birchmount Rd at Hollis Ave","86","1740","Birchmount Rd at Finch Ave East"
"kennedy/midland","86","662","Danforth Rd at Kennedy Rd","86","3539","Eglinton Ave East at Kennedy Station"
"avenue road and carmichael","86","11488","Eglinton Ave West at Avenue Rd East Side","86","8149","St Clair Ave West at Avenue Rd East Side"
"oasis and seasons","86","14266","Staines Rd at Seasons Dr South Side","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"lawrence and greer","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"eglinton/mount pleasant","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","2240","Eglinton Ave East at Bayview Ave East Side"
"finch and virgilwood","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"eastmall bloor","86","9856","Dundas St West at Bloor St West","86","526","Bloor St West at Islington Ave West Side"
"eglinton s/b donmills","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"lawrance and greenland","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","5275","Lawrence Ave East at Greenland Rd East Side"
"royal crest at martin grove rd.","94","11526","Royalcrest Rd at Martin Grove Rd","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"birchmount and chelwood","87","393","Birchmount Rd at Chelwood Rd","87","393","Birchmount Rd at Chelwood Rd"
"islington and evans","86","526","Bloor St West at Islington Ave West Side","86","11999","Bloor St West at Islington Ave"
"langstaff and plachett","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2678","Guildwood Pkwy at Guild Park and Gardens East Side"
"neilson and military tr","86","9909","Finch Ave East at Neilson Rd West Side","86","1380","Neilson Rd at Finch Ave East South Side"
"steeles to major mackenzie (d routing)","86","1371","Neilson Rd at Opp Walkway to Blackwater Cres & Kessack Crt","86","8257","1750 Steeles Ave West"
"steeles ave at rossdean.","95","8302","Steeles Ave West at Rossdean Dr","95","8302","Steeles Ave West at Rossdean Dr"
"lawrence on donmills","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"guildwood parkway & kingston rd","90","11372","Guildwood Pkwy at Kingston Rd","86","10755","Keele St at Toro Rd"
"princess gate loop","86","13366","Exhibition Loop at Manitoba Dr","86","6532","Humber Loop at The Queensway"
"marlee and roselawn","86","2380","Eglinton Ave West at Marlee Ave","86","2380","Eglinton Ave West at Marlee Ave"
"elway and marlee","86","2380","Eglinton Ave West at Marlee Ave","86","2380","Eglinton Ave West at Marlee Ave"
"hillcrest","90","9005","Yonge St at Hillcrest Ave - North York Centre Station","90","303","Bayview Ave at Hillcrest Ave"
"kingston rd & celeste dr","86","3479","Disco Rd at Carlingview Dr East Side","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"driftwood and jane st.","86","5006","Doncaster Ave at Main St West Side","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"windermere and morningside","87","6608","Morningside Ave at Windermere Ave","87","7452","Windermere Ave at Morningside Ave"
"sheppard stn to don mills stn","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"fenside to york mills stn","90","14806","York Mills Station","90","14806","York Mills Station"
"york mills stn to bannatyne","90","14806","York Mills Station","90","14806","York Mills Station"
"teston to downsview station","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"st clair stn to wicksteed","90","14778","St Clair Station","90","14778","St Clair Station"
"morningside & old finch","95","9500","Morningside Ave at Old Finch Ave","95","14488","Old Finch Ave at Morningside Ave"
"kingstorn road route","86","32","Annette St at Indian Road Cres","86","3503","Dundas St West at Indian Road Cres"
"scarborough golf club rd and chandler dr","96","11094","Scarborough Golf Club Rd at Chandler Dr","90","6040","Scarborough Golf Club Rd at Chandler Dr South Side"
"york mills stn to kingston rd","90","14806","York Mills Station","90","14806","York Mills Station"
"islingotn station","94","16045","Islington Station","94","16045","Islington Station"
"lebovic on eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"lawranceand tremont","86","2820","Lawrence Ave East at Tremont Cres (East) West Side","86","2822","Lawrence Ave East at Tremont Cres (West) West Side"
"kipling station to high park station","90","14695","High Park Station","90","14695","High Park Station"
"st clair to mt pleasant","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","9942","Dundas St West at Jane St East Side"
"n/b routing on 37 a","86","3327","Belfield Rd at C.N. East Spur","86","13697","Park Lawn Rd at Gardiner Expressway WB On Ramp)"
"rough hill go station","86","3539","Eglinton Ave East at Kennedy Station","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"hallam & dovercourt","95","10304","Dovercourt Rd at Hallam St","95","10304","Dovercourt Rd at Hallam St"
"lawrance and orton park","86","8038","Queen's Park Cres West at Hoskin Ave","86","1459","Queen's Park Cres East at St Joseph St North Side"
"4500 sheppard (mccowan to brimly)","86","13918","Sheppard Ave East at Victoria Park Ave East Side","86","4598","Sheppard Ave West at William R Allen Rd West Side"
"peter kaiser road","86","1453","Peter Kaiser Gate at Steeles Ave West","86","1158","Hullmar Dr at Peter Kaiser Gate"
"along route 61","86","14923","Opposite 61 Claireville Dr - BAPS Temple","86","14924","61 Claireville Dr - BAPS Temple"
"along route 142","55","2834","44 Longbourne Dr","54","14266","Staines Rd at Seasons Dr South Side"
"lower gerrard","90","1794","Coxwell Ave at Lower Gerrard St East","90","15132","Coxwell Ave at Lower Gerrard St East South Side"
"lawrance and victoriapark","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2678","Guildwood Pkwy at Guild Park and Gardens East Side"
"sprighurst loop","86","13366","Exhibition Loop at Manitoba Dr","86","6530","Rouge Hill GO Station Loop"
"cummer and leslie","86","5451","Leslie St at Kirkwood Rd North Side","86","5455","Leslie St at Lawrence Ave East"
"lansdowne / wade ave","86","1871","Davisville Ave at Cleveland St","86","14258","Don Mills Rd at Eglinton Ave East"
"don mills & lawrence","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"eglinton ave west / old park rd","95","2392","Eglinton Ave West at Old Park Rd","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital"
"eglinton & martingrove","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"auckland and bloor","86","9856","Dundas St West at Bloor St West","86","526","Bloor St West at Islington Ave West Side"
"duncan mills and don milss rd","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"crescent rd and yonge","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"mccowan road and sheppard avenue east","88","1318","McCowan Rd at Sheppard Ave East","88","1318","McCowan Rd at Sheppard Ave East"
"baldoon & finch avenue east","87","75","Baldoon Rd at Finch Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"victoria park & steles","86","6372","Ellesmere Rd at Victoria Park Ave","86","5299","Lawrence Ave East at Orton Park Rd"
"danforth & victoria park stn","90","14786","Victoria Park Station","90","14786","Victoria Park Station"
"don mills rd and lawrence ave e","91","1946","Don Mills Rd at Lawrence Ave East","91","1946","Don Mills Rd at Lawrence Ave East"
"caneff and strachan","86","11991","Strachan Ave at Fleet St North Side","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"sherbourn and carlton","86","760","Carlton St at Yonge St - College Station","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"sheppard and kingston rd","86","3479","Disco Rd at Carlingview Dr East Side","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"fernmeadow and lawrence","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"wynford & concord","86","1977","Don Mills Rd at Wynford Dr","86","2320","Eglinton Ave East at Wynford Dr West Side"
"valleywoods and ellesmere","86","9621","Ellesmere Rd at West Service Rd East Side","86","7691","Ellesmere Rd at Helicon Gate West Side"
"royal york/cavell","86","12175","Royal York Rd at Eglinton Ave West South Side","86","4712","Wellington St West at York St"
"don mills rd and overlea blvd","88","2978","Overlea Blvd at Don Mills Rd West Side","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"scarborough golf club and lawrence","89","5316","Lawrence Ave East at Scarborough Golf Club Rd","89","5316","Lawrence Ave East at Scarborough Golf Club Rd"
"bayview and garnier","86","2240","Eglinton Ave East at Bayview Ave East Side","86","298","2395 Bayview Ave - Bob Rumball Centre For The Deaf"
"keele and steeles ave west","87","1590","Steeles Ave West at Keele St East Side","87","1591","Steeles Ave West at Keele St"
"bathurst at lawrence","86","1871","Davisville Ave at Cleveland St","86","3479","Disco Rd at Carlingview Dr East Side"
"cent. hospital loop.","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital","86","13366","Exhibition Loop at Manitoba Dr"
"overlea on donmills","86","5753","Millwood Rd at Overlea Blvd North Side","86","2979","Overlea Blvd at Millwood Rd East Side"
"eglinton av. west on jane street","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","5415","Lawrence Ave West at Weston Rd - Weston GO Station"
"bayview and dteeles","86","2240","Eglinton Ave East at Bayview Ave East Side","86","298","2395 Bayview Ave - Bob Rumball Centre For The Deaf"
"cardinal newman high school","86","2632","1685 Finch Ave West - St Wilfred Cathoiic School","86","5119","High Park Ave at Dundas St West South Side"
"along eglinton & kingston","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","2240","Eglinton Ave East at Bayview Ave East Side"
"york mills stn to silvergrove","90","14806","York Mills Station","90","14806","York Mills Station"
"industry and todd baylis","86","9326","Industry St at Todd Baylis Blvd","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"centennial co0llege","87","6007","Progress Ave at Roadway to Centennial College","87","6008","Progress Ave at Opposite Roadway to Centennial College"
"steeles and victoria park.","86","9720","Birchmount Rd at Steeles Ave South Side","86","1459","Queen's Park Cres East at St Joseph St North Side"
"eglinton and forman","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"steeles loop - warden","95","13462","Warden Loop at Steeles Ave East","86","1974","Don Mills Rd at Steeles Ave East"
"major mack - warden stn","90","16636","Warden Station","90","16636","Warden Station"
"kingston & celeste","86","11845","Queen St East at Kingston Rd","86","11845","Queen St East at Kingston Rd"
"eglinton an don valley","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"thorncliff park","86","6372","Ellesmere Rd at Victoria Park Ave","86","11091","Berry Rd at Park Lawn Rd"
"keele anmd lawrence","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","11689","Keele St at St Clair Ave West"
"all run affected","56","15913","Carl Hall Rd at Centennial College","56","15913","Carl Hall Rd at Centennial College"
"route 108","60","9283","Opposite 100 Antibes Dr","60","10809","Opposite 1801-1821 Albion Rd"
"weston and northland","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"woodbine and mortimer ave","89","3202","Woodbine Ave at Mortimer Ave","89","5795","Mortimer Ave at Woodbine Ave"
"401 and neilson","86","9909","Finch Ave East at Neilson Rd West Side","86","1380","Neilson Rd at Finch Ave East South Side"
"eglinton west avenue","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"eglinton east avenue","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"patrick blvd and victoria park","88","7420","Victoria Park Ave at Patrick Blvd","88","7419","Victoria Park Ave at Patrick Blvd North Side"
"townsend","90","8237","Steeles Ave East at Townsend Rd","90","6148","Townsend Rd at Steeles Ave East South Side"
"midland on finch","86","1036","Eglinton Ave East at Midland Ave West Side","86","9910","Finch Ave East at Finchdene Sq West Side"
"jane st @ finch av. west","87","13709","Finch Ave West at Jane St","87","2606","Finch Ave West at Jane St East Side"
"lumsden and woodbine","86","11504","Highway 27 at Queen's Plate Dr - Woodbine Centre","86","2644","Finch Ave West at Woodbine Downs Blvd"
"kingston & saunders","86","7480","Lawson Rd at Kingston Rd - Highway 2A Overpass","86","6625","Highland Creek Overpass at Kingston Rd"
"warden/mcnabb","86","9344","Steeles Ave East at Warden Ave","86","9905","Warden Ave at Danforth Rd South Side"
"along leslie rout 51","86","5451","Leslie St at Kirkwood Rd North Side","86","5455","Leslie St at Lawrence Ave East"
"along route 142 downtown express","53","6233","Albion Rd at Weston Rd West Side","52","3709","Toronto South Detention Centre"
"lansdowne / royce loop","86","5213","Lansdowne Ave at Davenport Rd South Side","86","11632","Lansdowne Ave at Dundas St West South Side"
"royal york at albani","95","13361","Royal York Rd at Albani St","86","1871","Davisville Ave at Cleveland St"
"n/b on the bridle walk at drawbridge dr","95","13627","The Bridle Walk at Drawbridge Dr","86","662","Danforth Rd at Kennedy Rd"
"eglinton and mountpleasant","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","2240","Eglinton Ave East at Bayview Ave East Side"
"97 eglinton ave","86","1871","Davisville Ave at Cleveland St","86","14258","Don Mills Rd at Eglinton Ave East"
"estn to mt.pleasant  on yonge b/w","86","3244","Yonge St at Shuter St","86","1371","Neilson Rd at Opp Walkway to Blackwater Cres & Kessack Crt"
"dundus st. west & west mall","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","11630","Dufferin Mall"
"patrick and victoria park","86","1459","Queen's Park Cres East at St Joseph St North Side","86","13918","Sheppard Ave East at Victoria Park Ave East Side"
"august st. and danforth","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","9942","Dundas St West at Jane St East Side"
"jane and queens dr","86","3479","Disco Rd at Carlingview Dr East Side","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"wynford/donmills","86","1977","Don Mills Rd at Wynford Dr","86","2320","Eglinton Ave East at Wynford Dr West Side"
"don mills and ellesmere","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"bentworth","90","2019","Dufferin St at Bentworth Ave","90","701","Caledonia Rd at Bentworth Ave"
"falmouth/eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"falmouth and eglington","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2678","Guildwood Pkwy at Guild Park and Gardens East Side"
"wilson stattion","97","14799","Wilson Station","97","14799","Wilson Station"
"unsanatary","57","1906","Denton Ave at St Dunstan Dr","54","4678","Tuscan Gate at St Regis Cres (South)"
"jane and humberview","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","9942","Dundas St West at Jane St East Side"
"jane st and humberview rd","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"mt.pleasant rd to yonge","86","3479","Disco Rd at Carlingview Dr East Side","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"ave rd and wilson","86","929","Davenport Rd at Bedford Rd","86","1871","Davisville Ave at Cleveland St"
"jane and colbeck","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","9942","Dundas St West at Jane St East Side"
"entire 195 jane rocket route","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","10446","2901 Jane St"
"jane st and humberview","86","5006","Doncaster Ave at Main St West Side","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"emmett and hospital","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital","86","5773","Mortimer Ave at Coxwell Ave West Side - Michael Garron Hospital"
"entire 35 jane route","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","9942","Dundas St West at Jane St East Side"
"markham/stevenwood rd","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"birchmount/danforth","95","1845","Danforth Rd at Birchmount Rd","95","399","Birchmount Rd at Danforth Rd"
"estn to stsp b/w","86","14104","2851 Morningside Ave Walkway to Raponi Cir","86","1371","Neilson Rd at Opp Walkway to Blackwater Cres & Kessack Crt"
"markham rd / select ave","95","14608","Markham Rd at Select Ave","95","14608","Markham Rd at Select Ave"
"dundas/wilmar","86","9856","Dundas St West at Bloor St West","86","9942","Dundas St West at Jane St East Side"
"coxwell and hanson","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital","86","5773","Mortimer Ave at Coxwell Ave West Side - Michael Garron Hospital"
"labovick and eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"woodbine stn to lawerence","90","14804","Woodbine Station","90","14804","Woodbine Station"
"victoria park stn to kennedy","90","14786","Victoria Park Station","90","14786","Victoria Park Station"
"broadview stn to egliton stn","90","14635","Broadview Station","90","14635","Broadview Station"
"pape stn to steeles","90","15150","Pape Station","86","3539","Eglinton Ave East at Kennedy Station"
"staines and mantis","86","14266","Staines Rd at Seasons Dr South Side","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"wilsn stn","96","14799","Wilson Station","96","14799","Wilson Station"
"eglinton and beachell","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"@ sheppard","90","7172","Sheppard Ave East at Commons Dr","90","7172","Sheppard Ave East at Commons Dr"
"brimley and danforth rd","88","9641","Brimley Rd at Danforth Rd","88","9641","Brimley Rd at Danforth Rd"
"yonge st and churchill","86","5006","Doncaster Ave at Main St West Side","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"eglinton/avenue","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"markham and progress","86","2288","Eglinton Ave East at Markham Rd West Side","86","11364","Progress Ave at Markham Rd East Side"
"mount pleasant","90","16332","Eglinton Ave East at Mount Pleasant Rd","86","5813","Mt Pleasant Rd at Eglinton Ave East North Side"
"mount pleasant/eglinton","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","2240","Eglinton Ave East at Bayview Ave East Side"
"steeles and scholes","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"markham/lawerence","86","2288","Eglinton Ave East at Markham Rd West Side","86","11364","Progress Ave at Markham Rd East Side"
"woodmont and mortimer","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital","86","5773","Mortimer Ave at Coxwell Ave West Side - Michael Garron Hospital"
"dufferin andf davenport.","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","11630","Dufferin Mall"
"along route 11 bayview","86","2240","Eglinton Ave East at Bayview Ave East Side","86","298","2395 Bayview Ave - Bob Rumball Centre For The Deaf"
"along route 103","59","11718","1180 Albion Rd","57","12170","135 La Rose Ave"
"along 56 route","86","8362","56 Thorncliffe Park Dr","58","2579","Finch Ave West at Albion Rd South Side"
"along yonge street","86","9897","Eglinton Ave West at Yonge St","86","9898","Eglinton Ave West at Yonge St West Side"
"along route 51","58","2579","Finch Ave West at Albion Rd South Side","58","13429","Claireport Cres (East) at Albion Rd South Side"
"bell ayre and davisville","86","1882","Davisville Ave at Yonge St East Side","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"emmett and verona","86","2426","120 Emmett Ave at Roadway to West Park Healthcare Centre","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"donmills/steeles","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"major mackenzie and markham rd","88","15381","Major Mackenzie Dr East at Markham Rd","86","10755","Keele St at Toro Rd"
"victoria park and dawes rd","87","8446","Victoria Park Ave at Dawes Rd","86","9125","Don Mills Rd at Eglinton Ave East North Side"
