bad_name, good_name, confidence
westway & wincott dr, The Westway at Wincott Dr, 90
select - markham, 830 Progress Ave, 50
st.clair and jane st, St Clair Ave West at Jane St, 90
bay & st joseph, Bay St at St Joseph St, 100
law & weston, Lawrence Ave West at Weston Rd - Weston GO Station, 70
finch station to yorkmills station, Yonge St at Finch Ave West - Finch Station, 40
annette and dundas intersection, Annette St at Dundas St West, 80
sherwway gardens to humber loop, NONE, NONE
Eglinton Ave East at Roehampton Ave, NONE, 0
NONE, NONE, NONE
NONE, NONE, NONE
coxwell/mortinmer, Mortimer Ave at Coxwell Ave - Michael Garron Hospital, 80
sandhurst cir. n and mccowan, McCowan Rd at Sandhurst Cir (North), 80
finch statioon, Finch Station, 60
steeeles, NONE, NONE
victoria park station route, Victoria Park Station, 70
ellesmere to yorkmills, NONE, NONE
kipling station - sherway gardens - longbranch loop, NONE, NONE
victoria park and ripon rd, Victoria Park Ave at Ripon Rd, 90
mccowan & commander, McCowan Rd at Commander Blvd, 90
steeles loopo, NONE, NONE
finch ave w, Finch Ave West, 100
mcnicoll and snowcrest, McNicoll Ave at Snowcrest Ave, 90
hollyhedge dr, McCowan Rd at Hollyhedge Dr (North), 80
marlee ave and roselawn, Marlee Ave at Roselawn Ave, 100
o'connor / milton, O'Connor Dr at Milton Rd, 90
finch /arrow, Finch Ave West at Arrow Rd, 100
steeles and redlea ave, Steeles Ave East at Redlea Ave, 100
lkmd, NONE, 0
dufferin and shanley ave, Dufferin St at Shanly St, 90
eglinton ave at winnett, NONE, 0
queen and coxwell station to coxwell station, Coxwell Station, 90
bloor - sherbourne station, Sherbourne Station, 90
overture and kingston rd, NONE, NONE
norway and woodbine, Woodbine Ave at Norway Ave, 90
castlemore and mingay, Castlemore Ave at Mingay Ave, 90
weston rd and knob hill dr., Weston Rd at Knob Hill Dr, 100
upper canada dr and fairmeadow ave, Upper Canada Dr at Fairmeadow Ave, 100
bellamy and progress, Progress Ave at Bellamy Rd North East Side, 70
parkwoods/vic park, Victoria Park Ave at Parkwoods Village Dr, 70
allen and eglinton, Eglinton Ave East at Don Valley Pkwy West Side, 60
Dufferin St at Springhurst Ave, Dufferin St at Springhurst Ave, 100
McNicoll Ave at Silver Springs Blvd, McNicoll Ave at Silver Springs Blvd, 85
Finch Ave East at Brahms Ave, Finch Ave East at Brahms Ave, 100
Wellington St West at Yonge St, Wellington St West at Yonge St, 80
Mt Pleasant Rd at Eglinton Ave East, Mt Pleasant Rd at Eglinton Ave East, 100
Eglinton Ave East at Mt Pleasant Rd North Side, Eglinton Ave East at Mt Pleasant Rd North Side, 85
Eglinton Ave East at Mt Pleasant Rd North Side, Eglinton Ave East at Mt Pleasant Rd North Side, 85
Martin Grove Rd at Royalcrest Rd, Martin Grove Rd at Royalcrest Rd, 100
Finch Ave West at Humberline Dr, Finch Ave West at Humberline Dr, 100
Steeles Ave West at Martin Grove Rd, Steeles Ave West at Martin Grove Rd, 100
mount dennis to emmett and verona, 85 Emmett Ave, 80
downtown express west of yonge st, Front St West at Bay St East Side - Union Station, 30
ossington station for time, Ossington Station, 90
dufferine and lawrence, Dufferin St at Lawrence Ave West North Side, 80
eglinton and victoria park and bayview, Eglinton Ave East at Bayview Ave East Side, 50
wb on lawrence at little ave, Lawrence Ave West at Little Ave, 90
victoria park station to kennedy station, Victoria Park Ave at Eglinton Sq, 50
shadlock st-steeles, Steeles Ave East at Shadlock St, 100
prince edward routing, Prince Edward Dr South at Bloor St West, 70
mcnicoll and silversprings, McNicoll Ave at Silver Springs Blvd, 95
mornignside and satines, Morningside Ave at Staines Rd, 80
thistledown blvd and albion rd, Thistle Down Blvd at Albion Rd, 90
eglinton ave don mills rd, Eglinton Ave East at Don Mills Rd, 85
wellsley and church, Wellesley St East at Church St, 90
linden av-st.clair av, NONE, NONE
old mill station to humber loop., NONE, NONE
warden ave and huntingwood, Warden Ave at Huntingwood Dr, 95
dundas and gooch, NONE, NONE
mc nicoll and victoria park, McNicoll Ave at Victoria Park Ave, 95
van horne and bicherton circle, Van Horne Ave at Bickerton Cres, 85
mc nicoll at victoria park, McNicoll Ave at Victoria Park, 100
sherway gardenst to royal york, NONE, NONE
freashmeadow, Freshmeadow Dr at Don Mills Rd, 90
vp on york mills, Victoria Park Ave at York Mills Rd, 85
dufferin and bloor sttaion, Dufferin St at Bloor St West - Dufferin Station, 80
barbadoes and eglinton, NONE, NONE
st.clair and weston rd, St Clair Ave West at Weston Rd, 90
lawrence/martin grove/westway/dufferin/marlee, NONE, NONE
entier route, NONE, NONE
steele and putnam gate, Steeles Ave East at Putnam Gate, 90
york mills rd at bayview ave, York Mills Rd at Bayview Ave, 75
york mills rd at bayview ave, York Mills Rd at Bayview Ave, 75
weston rd at knob hill dr, Weston Rd at Knob Hill Dr, 100
bayview ave at eglinton ave east, Bayview Ave at Eglinton Ave East, 90
keele st at caledonia rd, Keele St at Caledonia Rd, 80
scarborough town centre, Scarborough Town Centre, 95
kennedy rd at eglinton ave east, Kennedy Rd at Eglinton Ave East, 95
NONE, NONE, NONE
NONE, NONE, NONE
scarborough centre station, Scarborough Centre Station, 85
macdonell at queen st. west, MacDonell Ave at Queen St West North Side, 90
tapscott and finch e, Tapscott Rd at Finch Ave East North Side, 90
viking lane/st. albans, NONE, 50
scarlett on eglington, Eglinton Ave West at Scarlett Rd, 85
oppo 3600 and finch ave, NONE, 50
wilsin station, Wilson Station, 80
birchmoutn garage, NONE, 50
dufferin mall at bloor, Dufferin Mall, 80
dufferin and morrison, Dufferin St at Glencairn Ave, 50
queen & hambly, Hambly Ave at Queen St East North Side, 80
birchmount & bonis, Birchmount Rd at Bonis Ave, 90
york mills station to bannatyne/ silvergrove, YORK MILLS RD AT YORKLAND BLVD, 50
york mills station to roywood dr /fenside dr, York Mills Rd at Valley Woods Rd, 60
york mills station to queens quay, Queens Quay West at Lower Spadina Ave, 50
mcnicoll ave and silverspring blvd, McNicoll Ave at Silver Springs Blvd, 95
eglinton/huntingwood, Huntingwood Dr at Eglinton Ave East, 60
jane & east, Jane St at Annette St, 50
kingston rd/meadowvale, Lawson Rd at Meadowvale Rd, 60
birmingham & kipling, Eighth St at Birmingham St, 80
kipling & bethridge, Kipling Ave at Bethridge Rd - Etobicoke North GO Station, 90
finch at tapscott eb, Finch Ave East at Tapscott Rd, 90
kipling & snaresbrook drive, Kipling Ave at Snaresbrook Dr, 95
kipling at snarebrook, Kipling Ave at Snaresbrook Dr, 90
steeles and murray ross rd., Steeles Ave West at Murray Ross Pkwy, 85
rerminal 3, Pearson Airport Terminal 3 - Arrivals Level Columns C8-C12, 80
highway 27 and bethridge, Highway 27 at Queen's Plate Dr - Woodbine Centre, 70
keele and four winds, Keele St at Four Winds Dr, 90
mortimer ave, Mortimer Ave at Coxwell Ave - Michael Garron Hospital, 80
both ways on don mills, NONE, 20
dufferin st and rogers, Dufferin St at Rogers Rd, 90
evans & sherway gate, Evans Ave at Sherway Gate Mall, 70
64 main station, Main Street Station, 90
manitoba and canada dr, Exhibition Loop at Manitoba Dr, 70
beach express - route, NONE, 0
69 warden, NONE, 0
bathurst and woburn, Bathurst St at Woburn Ave, 90
nugget on markham, Nugget Ave at Markham Rd, 90
avenue rd & eglinton ave, Avenue Rd at Eglinton Ave West, 80
steeles and waggoner wells, Steeles Ave East at Waggoners Wells Lane, 90
from old mill station to humber loop and marine parade, NONE, 0
huntington, NONE, 0
york mills subway entrance, Yonge St at York Mills Rd North Side - York Mills Station, 75
islingto and dixon, Islington Ave at Dixon Rd, 95
wilson at garratt, Wilson Ave at Garratt Blvd, 90
3588 eglinton ave west, NONE, 0
vikings lane/st. albans, St Albans Rd at West Service Rd, 60
finch & greenview, Finch Ave West at Greenview Ave, 80
king and melinda, NONE, 0
king on yonge, Yonge St at King St East - King Station, 70
alliance @ jane, Jane St at Alliance Ave, 80
pioneer village sn, Pioneer Village Station, 90
kingston rd looop, NONE, NONE
yonge and colbourne, NONE, NONE
eglinton and bayview + victoria park, Eglinton Ave East at Bayview Ave East Side, 40
oakwiid and vaughn, Oakwood Ave at Vaughan Rd, 90
stevenwood on markham, Markham Rd at Stevenwood Rd North Side, 90
st clair ave to queens quay, NONE, NONE
st clair ave and avenue raod, St Clair Ave West at Avenue Rd, 85
islington at lemsford, NONE, NONE
vic park and gordon barker, Victoria Park Ave at Gordon Baker Rd, 90
victoria park/terraview, Victoria Park Ave at Terraview Blvd, 85
sheppard & malvern st, NONE, NONE
victoria park to morningside, Victoria Park Ave at Morningside Ave, 70
parkview hills / wood, Parkview Hill Cres at Woodbine Heights Blvd, 80
overlea to freshmeadow, NONE, NONE
blythwood and bayview, Bayview Ave at Blythwood Rd, 80
royal york and braecrest, NONE, NONE
horfield & mccowan, McCowan Rd at Horfield Ave, 90
industry and mount dennis, Industry St at Mount Dennis, 90
mc mcnicoll and kennedy rd, McNicoll Ave at Kennedy Rd, 80
the guild park way prince philip blvd, Guildwood Pkwy at Prince Philip Blvd, 90
morningside/park, Morningside Park, 50
parliament / gerrard / carlton, Parliament St at Carlton St, 60
driftwood crt and driftwood, Driftwood Ave at Driftwood Crt, 90
pstn to dons, NONE, NONE
victoria park and 404, Victoria Park Ave at Sheppard Ave East, 40
entirety of route, NONE, NONE
kingston rd/guildwood pkway, Kingston Rd at Guildwood Pkwy, 95
lawrence station to donway east, Lawrence Ave East at The Donway East, 80
beth neilson and wicksteed to st. clair station, NONE, NONE
albani on royal york, Royal York Rd at Albani St, 90
jane & black creek, Eglinton Ave West at Black Creek Dr, 90
york street and adelaide st, York St at King St West, 70
keele and rogers road, Keele St at Rogers Rd, 90
shuter and yonge, Yonge St at Shuter St, 90
albion and carrier drive., Albion Rd at Carrier Dr, 90
129 mccowan route, NONE, NONE
finch station to morningside, Morningside Ave at Finch Ave East, 60
avenue rd & st clair ave, Avenue Rd at St Clair Ave West North Side, 80
eglinton ave & yonge st, Eglinton Ave West at Yonge St, 80
kipling station to all branches, Kipling Station, 100
belfied, Belfield Rd at Kipling Ave - Etobicoke North GO Station, 85
morningside/mclevin, Morningside Ave at McLevin Ave, 90
yonge and front st, Yonge St at Front St East, 90
gordon baker & victoria park ave., Gordon Baker Rd at Victoria Park Ave West Side, 90
albion rd. at claiport crescent to ryst, Albion Rd at Claireport Cres (East), 90
eglinton ave & leslie, Eglinton Ave East at Leslie St, 90
finch station - morningside, NONE, 30
lawerence and railside, Lawrence Ave East at Railside Rd (West) East Side, 90
albion & golfdown, Albion Rd at Golfdown Dr, 95
morningside /kingston rd, Morningside Ave at Kingston Rd, 90
yonge st and colborne st, Yonge St at Front St East, 60
wilson station to princess gates, NONE, NONE
york mills station to carluke and fifeshire, York Mills Rd at Carluke Cres, 40
jane and page, Jane St at Page Ave, 95
aukland & dundas west, Aukland Rd at Dundas St West, 95
van and bickerton, Van Horne Ave at Bickerton Cres, 95
ddup, Dupont Station, 50
dundas w, Dundas St West at Spadina Ave, 60
donmills on ellesmere, Don Mills Rd at Eglinton Ave East, 40
danforty route, Danforth Rd, 60
bay st  @ college st, Bay St at College St, 100
on symington ave, Symington Ave, 60
eastmall at northqueen, The East Mall at North Queen St, 90
kelfield and dixon, Kelfield St at Dixon Rd, 90
warden and tower, Warden Ave at Tower Dr, 100
egwstn, Eglinton Station, 60
bay & gerrard, Bay St at Gerrard St West, 90
both ways on pharmacy, Pharmacy Ave, 60
NONE, NONE, 40
NONE, NONE, NONE
Scarborough Town Center, Scarborough Town Centre, 100
york mills station, York Mills Station, 100
finch station, Finch Station, 100
lawrence west and eglinton west station, NONE, 30
wilson div, NONE, 30
kenhatch on mccowan, McCowan Rd at Kenhatch Blvd, 90
mc cowan and finch ave e, McCowan Rd at Finch Ave East, 90
islington south rte, NONE, 30
n/b nugget, Nugget Ave at Markham Rd West Side, 80
McNicoll Ave at Leslie St, McNicoll Ave at Leslie St, 90
Buroak Ave - Mount Joy GO Station, Markham Rd at Bur Oak Ave - Mount Joy GO Station, 60
Eglinton Ave West at Old Forest Hill Rd, Eglinton Ave West at Old Forest Hill Rd, 80
Pape Ave at O'Connor Dr, O'Connor Dr at Pape Ave, 60
NONE, NONE, 10
Sheppard Ave West at Min Ave, Sheppard Ave West at Min Ave, 90
York Mills Rd at Fenside Dr, York Mills Rd at Fenside Dr, 90
York Mills Rd at Fenside Dr, York Mills Rd at Fenside Dr, 90
Neptune Dr, NONE, 40
Mt Pleasant Rd at Belsize Dr, Mt Pleasant Rd at Belsize Dr, 90
143 express - route, NONE, 0
davenport & avenue, Avenue Rd at Davenport Rd, 80
eglinton & ave rd, Eglinton Ave West at Avenue Rd East Side, 70
eglinton on marlee, Eglinton Ave West at Marlee Ave, 80
wellsley and yonge, Wellesley St East at Yonge St, 80
overlea and thorncliffe pl, Overlea Blvd at Thorncliffe Park Dr (East), 90
victoriapark and finch ave e, Victoria Park Ave at Finch Ave East South Side, 70
Scarborough Town Center hupfield and sewells, NONE, 0
pioneer village to sheppard west station, NONE, 0
mcst, NONE, 0
yonge st at steeles ave east, NONE, 50
liberty st at atlantic ave, Liberty St at Atlantic Ave, 100
albion rd at claireport cres, Albion Rd at Claireport Cres (East), 90
ellesmere rd at mornelle crt, Ellesmere Rd at Mornelle Crt, 80
mcnicoll ave at kennedy rd, McNicoll Ave at Kennedy Rd, 100
victoria park ave at danforth ave, Victoria Park Ave at Danforth Ave, 100
dixon rd at highway 27, NONE, 50
islington ave at elmhurst dr, Islington Ave at Elmhurst Dr, 90
hambly ave at williamson rd, Hambly Ave at Williamson Rd, 100
islington ave at riverbank dr, NONE, 60
mill wood /mt.pleasant, Mt Pleasant Rd at Millwood Rd North Side, 85
rogers @ oakwood, Oakwood Ave at Rogers Rd, 90
kipling ave and hinton ave, Kipling Ave at Hinton Rd, 90
mccowan /finch, McCowan Rd at Finch Ave East, 90
market/esplanade, NONE, NONE
lawrence and jane to law west station, Lawrence Ave West at Jane St, 70
brimorton / ellesmere, Brimorton Dr at Ellesmere Rd, 90
93 parkview routing, NONE, NONE
old mill station to laeshore/ellis to marine parade, NONE, NONE
entire calvington route, Calvington Dr at Calvington Trail, 70
royal statin to claireport, NONE, 0
birchmount and randstone garadens, Birchmount Rd at Ranstone Gardens, 75
ave rd & bloor st, Avenue Rd at Bloor St West, 80
Scarborough Town Center - major mackenzie/ridgecrest, NONE, 0
Scarborough Town Center-mvof, Scarborough Town Centre, 80
islington to lakeshore to logbranch, Long Branch Loop, 60
blue jays, NONE, 0
greenwin village to bathurst station, Bathurst St at Greenwin Village Rd, 80
eglinton west station to atlantic and king, King St West at Atlantic Ave, 55
eginton and kennedy, Kennedy Rd at Eglinton Ave East, 65
kennedy avenue, Kennedy Rd, 90
mgate, Morningside Ave at Tefft Rd, 60
york mills  to midland & steelesw, York Mills Rd at Midland Ave, 60
beachel/eglinton, Eglinton Ave East at Beachell St, 80
markham and elston, Markham Rd at Elson St, 80
nelson str, Neilson Rd at Tapscott Rd, 50
roehampton/redpath, Eglinton Ave East at Redpath Ave, 70
roehampton and redpath, Eglinton Ave East at Redpath Ave, 70
arrow garage pod steeles w loop, Steeles Ave West Loop at Islington Ave, 70
jane & weston rd, Jane St at Weston Rd, 80
finch station (incident location finch & kendleton), Yonge St at Finch Ave West - Finch Station, 70
33 forest hill route, NONE, 20
75 sherbourne route, Sherbourne St at Queen St East, 30
98 willowdale/senlac route, 98 WILLOWDALE-SENLAC, 20
manitoba and strachan, Manitoba Dr at Strachan Ave West Side, 70
cahplin crescent and yonge, Yonge St at Chaplin Cres, 60
61 avenue rd north route, Avenue Rd at Hillhurst Blvd North Side, 30
97 yonge route, 97 YONGE, 20
124 sunnybrooke route, NONE, 0
162 lawrence donway route, NONE, 0
28 bayview south route, NONE, 0
11 bayview route, NONE, 0
5 avenue rd route, NONE, 0
williamson and hambly ave, Wineva Ave at Williamson Rd South Side, 60
bay and wellsley, Wellington St West at Bay St, 50
front and john sreet, Front St West at Bay St East Side - Union Station, 40
toronto marathon, NONE, 0
yonge and aylmer, Yonge St at Aylmer Ave, 70
NONE, NONE, NONE
heathrow on jane, Jane St at Heathrow Dr, 80
birchmount rd and finch ave, Birchmount Rd at Finch Ave East, 90
north service road, North Service Rd at Eglinton Ave East, 80
yonge and carlton, Parliament St at Carlton St, 70
steele loop at martin grove, Steeles Ave West Loop at Martin Grove Rd, 90
bmst, NONE, 0
steeles at mountcastle, Steeles Ave East at Mountcastle Gate, 90
steele ave west and signet dr., Steeles Ave West at Signet Dr, 80
mccowan - steeles loop, McCowan Rd Loop at Steeles Ave East, 85
danforth & sadler, Danforth Rd at Sadler Dr, 70
cent coll-scarb-loop, NONE, 0
17 route, NONE, 0
eglinton station at queens park circle, Queen's Park Cres East at College St North Side, 50
thewethey and yore, Trethewey Dr at Jane St, 60
islington ave and norseman, Islington Ave at Norseman St, 100
donlands and occonor, O'Connor Dr at Donlands Ave, 100
wilson ave and yonge st., Wilson Ave at Yonge St, 90
between ranstone and radnor, Kennedy Rd at Ranstone Gardens, 60
doncaster ave and chisholm ave, NONE, 0
church and wellseley, Wellesley St East at Church St, 90
victoria park ave at tempo ave, Victoria Park Ave at Tempo Ave, 90
lawrence ave east at markham rd, Lawrence Ave East at Markham Rd, 90
NONE, NONE, 10
leslie st at lawrence ave east, Leslie St at Lawrence Ave East, 90
wilson ave at avenue rd, Wilson Ave at Avenue Rd, 90
christie st at barton ave, Christie St at Barton Ave, 80
st clair ave east at linden ave, St Clair Ave East at Linden Ave, 90
NONE, NONE, 5
victoria park ave at finch ave east, Victoria Park Ave at Finch Ave East, 80
greenwood ave at dundas st east, Greenwood Ave at Dundas St East, 70
pioneer station, Pioneer Village Station, 100
eglinton ave and midland, Eglinton Ave East at Midland Ave, 90
leslie / finch, Leslie St at Finch Ave East, 85
driftwood at stong, Driftwood Ave at Stong Crt, 100
islington ave & evans ave, Islington Ave at Evans Ave, 100
yorkwood gt., Yorkwoods Gate, 80
mount dennis to keele and eglinton, NONE, NONE
ranstone gardens & birchmount, Birchmount Rd at Ranstone Gardens, 90
kelfield/dixon, Dixon Rd at Kelfield St, 100
entire kipling route, NONE, NONE
sherway gardens & keele station, NONE, NONE
weston rd and ormont dr., Weston Rd at Ormont Dr, 90
purple dusk and neilson, Neilson Rd at Purpledusk Trail, 80
don mills to bay mills, Sheppard Ave East at Bay Mills Blvd, 60
port union & conference, Port Union Rd at Conference Blvd, 100
blackthorn and eglinton, Eglinton Ave West at Blackthorn Ave, 100
jones & shuddel, Jones Ave at Shudell Ave, 90
entire lawrence route, NONE, NONE
mill rd loop to islington station, NONE, NONE
etnire route, NONE, NONE
keele and vine ave, NONE, 0
entire 118 thitle down route, Thistle Down Blvd at Albion Rd, 60
neartic drive on hwy 27, NONE, 0
cotton, St Clair Ave East at Cotton Ave, 70
ellesmere @bellamy, Ellesmere Rd at Bellamy Rd North, 90
brimley and frazerton, Brimley Rd at Fraserton Gate, 90
ilslington at barkin, Islington Ave at Barker Ave, 85
st. clair station to beth neilson, St Clair Station, 50
lawrence station to the donway, Lawrence Station, 50
glenforest and yonge st, Yonge St at Glenforest Rd North Side, 70
lord seaton and yonge st., Yonge St at Lord Seaton Rd, 90
queens plate and hwy27, Highway 27 at Queen's Plate Dr - Woodbine Centre, 100
steelesd, Steeles Ave West, 50
dupont  station, Dupont Station, 100
kipling ave and byland rd, NONE, NONE
mccowan rd and highway 401, McCowan Rd at Highway 401, 100
swanwick, Main St at Swanwick Ave, 80
deauville & dufresne court, NONE, NONE
wb on airport road at jetliner, Airport Rd at Jetliner Rd East Side, 90
glenhaven and eglinton, Eglinton Ave West at Glenhaven St West Side, 90
Eglinton Ave East at Bayview Ave East Side, NONE, 50
Cosburn Ave at Coxwell Ave, Cosburn Ave at Mortimer Ave - Michael Garron Hospital, 80
Finch Ave East at Leslie St - Old Cummer GO Station, NONE, 55
Pioneer Village Station, Pioneer Village Station, 100
Claireport Cres (East) at Albion Rd, Claireport Cres (East) at Albion Rd South Side, 80
Cosburn Ave at Danforth Ave, Cosburn Ave at Woodmount Ave, 70
Overlea Blvd at Thorncliffe Park Dr (East), Overlea Blvd at Thorncliffe Park Dr (West), 70
Prince Edward Dr South at Bloor St West, Prince Edward Dr South at Glenaden Ave East, 80
Symington Ave at Wallace Ave, Symington Ave at Paton Rd, 90
McRae Dr at Laird Dr, Laird Dr at McRae Dr, 100
steeles and silver star railway crossing, NONE, NONE
steeles ave silver star railway crossing, Steeles Ave East at Silver Star Blvd, 95
milliken go/cn rail crossing on steels, Steeles Ave East at Milliken GO Station, 85
davenport and dufferin to dupont station, Dupont Station, 80
sheppard & consumers to havenview, Sheppard Ave East at Havenview Rd, 95
kingston rd and brooklawn, Kingston Rd at Brooklawn Ave, 100
arcot on albion, Albion Rd at Arcot Blvd, 100
east mall and redcar, The East Mall at Redcar Ave, 100
glebmount ave, Glebmount Ave, 100
st. clair to vp both ways, St Clair Ave East at Victoria Park Ave, 70
royal york and castlebar rd., Royal York Rd at Castlebar Rd South Side, 90
both ways on st.clair, NONE, NONE
queens plate drive and highway 27, Highway 27 at Queen's Plate Dr - Woodbine Centre, 90
bg, NONE, NONE
shepaprd ave eastbound, Sheppard Ave East at Yonge St East Side, 70
17 birchmoutn routing, 1792 Birchmount Rd, 80
sheppard ave and victoria park ave, Sheppard Ave East at Victoria Park Ave, 90
corporate and lee center, Corporate Dr at Lee Centre Dr (West), 100
st cclir west station, St Clair West Station, 90
st. phillips and dixon, St Phillips Rd at Dixon Rd, 90
cloverleaf gate, Warden Ave at Cloverleaf Gate, 90
finch ave west and weston, Finch Ave West at Weston Rd, 95
finch and morningside ave, Finch Ave East at Morningside Ave, 90
entire 186 wilson express, NONE, NONE
mblp to istn, NONE, NONE
royal york and royaleigh ave., Royal York Rd at Royaleigh Ave, 90
92 woodbine s, NONE, NONE
york mills station to roywood dr, York Mills Rd at Bayview Ave, 70
york mills station to bannatyne dr, York Mills Rd at Bayview Ave, 70
st. clair station to beth nealson dr., St Clair Ave East at Denvale Rd, 60
Dundas St West at Dupont St, NONE, 40
St Clair Ave West at Bathurst St, Doncliffe Loop at Glen Echo Rd, 10
Sewells Rd at Morningview Ave, NONE, 60
Lonsdale Rd at Avenue Rd East Side, Avenue Rd at Lonsdale Rd South Side, 80
Yonge St at Eglinton Ave East North Side - Eglinton Station, Yonge St at Eglinton Ave East, 90
Sheppard Ave West at Bathurst St East Side, NONE, 55
Humberline Dr at Lloyd Manor Rd, Humber Loop at The Queensway, 20
Keele St at Finch Ave West North Side - Finch West Station, Keele St at Finch Ave West - Finch West Station, 70
yonge st at charles st west south side, Yonge St at Charles St West South Side, 100
queen st east at jones ave, Queen St East at Jones Ave, 60
staines rd at morningside ave, Staines Rd at Morningside Ave, 100
cosburn ave at coxwell ave, Cosburn Ave at Coxwell Ave, 70
NONE, NONE, NONE
davenport rd at old weston rd, Davenport Rd at Kendal Ave, 40
NONE, NONE, NONE
wynford dr at wynford heights cres, Don Mills Rd at The Donway East, 30
sheppard ave east at victoria park ave, Sheppard Ave East at Victoria Park Ave, 100
queens quay west at lower spadina ave, Queen St East at Carlaw Ave, 30
chaplin and yonge, NONE, NONE
yorkleigh & scarlett, Scarlett Rd at Eglinton Ave West, 40
pharmacy w/b, Pharmacy Ave at Brimley Rd, 45
kingston rd-markham rd, Markham Rd at Kingston Rd, 75
parliament street /cast, Parliament St at Carlton St, 60
bathurst and greewin village, Bathurst St at Greenwin Village Rd, 90
innismore crescent, Pharmacy Ave at Innismore Cres, 90
kennedy rd munham gate, Kennedy Rd at Munham Gate, 100
jane & wilson ave., Jane St at Wilson Ave, 95
jane & wilson ave, Jane St at Wilson Ave, 95
jaal, NONE, 0
baylawn/finch, NONE, 0
martin grove at royalcrest, Royalcrest Rd at Martin Grove Rd, 85
bayview ave., Bayview Ave at Valleyanna Dr, 70
entier rt, NONE, 0
weston / dora spencer, Weston Rd at Dora Spencer Rd, 90
eglinton & westob, Eglinton Ave West at Weston Rd, 70
oldm to lkmd and hump, NONE, 0
st. clair station to wicksteed and beth nealson, NONE, 0
lady york and wilson avenue, Wilson Ave at Lady York Ave, 90
NONE, NONE, 0
finch @ 404, NONE, NONE
thorncliffe park dr and overlea, Thorncliffe Park Dr East at Overlea Blvd, 90
thorncliffe pk dr and overlea, Thorncliffe Park Dr East at Overlea Blvd, 90
thorncliffe pk drive and overlea, Thorncliffe Park Dr East at Overlea Blvd, 90
renforth station exit ramp @ commerce blvd, Eglinton Ave West at Commerce Blvd East Side, 70
sutherland and eglinton avenue, Eglinton Ave East at Sutherland Dr, 80
eglinton / dufferin, Eglinton Ave West at Dufferin St, 85
kingston rd and queen street, Queen St East at Kingston Rd, 80
eglinton and bayview/ don mills/ victoria park, Eglinton Ave East at Bayview Ave East Side, 70
cosburn avenue / mstn / bstn, Cosburn Ave at Broadview Ave North Side, 60
sentinrl & the pond, Sentinel Rd at The Pond Rd, 90
main street (outside station), Main Street Station, 80
evans ave & royal york, Evans Ave at Royal York Rd, 70
nb on keele and maple leaf, Keele St at Maple Leaf Dr North Side - Finch West Station, 60
eglinton and sinnot, Eglinton Ave East at Sinnott Rd, 90
poioneer village station, Pioneer Village Station, 95
jarvis and richmonf, NONE, NONE
sheppard and john dury, Sheppard Ave West at John Drury Dr, 95
old finch and bingley, Old Finch Ave at Bingley Rd, 90
yonge and esplanade, Yonge St at Front St East, 60
indian grove & keele, NONE, 0
royal york station & claireport, NONE, 0
royal york station & lakeshore mimico, Royal York Rd at Mimico Ave, 40
old mill station & marine parade, NONE, 0
dupont @ ossington, Dupont St at Ossington Ave, 90
wilson & albion, Albion Rd at Elmhurst Dr, 30
bermondsey & eglinton to kennedy & eglinton, Kennedy Rd at Eglinton Ave East, 40
murry ross pwy and sentinal, Sentinel Rd at Murray Ross Pkwy South Side, 90
gerard & university, Gerrard St East at University Ave, 90
dufferin/geary, Geary Ave at Dufferin St, 60
kennedy staiton, Kennedy Station, 95
entire dufferin route, NONE, 60
oconnor both ways, O'Connor Dr at Pape Ave, 50
newmill gate and middlefield, Newmill Gate at Maybrook Dr, 75
both ways on sheppard, Sheppard Ave East at Meadowvale Rd, 40
entire graydon hall, Graydon Hall Dr at Graydon Hall Pl, 90
wnpl, NONE, 10
spadina/eglinton, Spadina Rd at Eglinton Ave West, 85
ave rd 7 lawrence, Lawrence Ave West at Avenue Rd, 70
wilson ave and dufferin st, Dufferin St at Wilson Ave, 90
The Esplanade at Princess St, The Esplanade at Princess St, 95
Entire Hospital Rd West Side, NONE, 50
Wilson Ave at Jethro Rd, Wilson Ave at Jethro Rd, 85
Yonge St at Soudan Ave, Yonge St at Soudan Ave, 95
Lansdowne Ave at Lappin Ave, Lansdowne Ave at Lappin Ave, 100
Eglinton Ave West at Dufferin St, Eglinton Ave West at Dufferin St, 70
St Clair Ave East at Marsh Rd, St Clair Ave East at Marsh Rd, 100
Warden Ave at Danforth Rd, Warden Ave at Danforth Rd, 75
Kennedy Rd at Forbes Rd, Kennedy Rd at Forbes Rd, 100
Morningside Ave at Lawrence Ave East, Morningside Ave at Lawrence Ave East, 85
bloor and mt. pleasant, NONE, NONE
mossbank and lawrence, Lawrence Ave East at Mossbank Dr, 80
purcell and kennedy, Kennedy Rd at Purcell Sq South Side, 90
yonge - eglinton to lawrence, Yonge St at Lawrence Ave East North Side - Lawrence Station, 60
eglinton & renforth, Renforth Dr at Eglinton Ave West, 90
wellesley between church & jarvis, Wellesley St East at Jarvis St, 70
albion at weston rd., Albion Rd at Weston Rd, 90
warden and lebovic, Eglinton Ave East at Lebovic Ave, 75
old millstation to hmlp to lakeshore and marine parade, NONE, NONE
Portland St at Royal York Rd, Portland St at Royal York Rd, 90
86c route, NONE, 0
arrow and shep, Arrow Rd at Sheppard Ave West, 85
o'conner, O'Connor Dr at Pape Ave, 80
